size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
32768,32768,128,500,1.499832,0.157025,1.368641,21299352,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
32768,32768,64,500,3.136717,0.215379,2.989217,21299351,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
32768,32768,32,500,6.396744,0.310371,6.155330,21299349,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
32768,32768,16,500,12.960796,0.520988,12.542657,21299348,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
32768,32768,8,500,25.766116,0.780071,25.227443,21299347,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
65536,65536,128,500,6.461793,0.348185,6.181742,21299395,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
65536,65536,64,500,12.994972,1.134627,12.615810,21299394,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
65536,65536,32,500,26.760746,1.659799,26.114417,21299393,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
65536,65536,16,500,51.650265,1.477348,50.768567,21299392,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
65536,65536,8,500,103.307647,2.391784,101.889143,21299391,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
